Word/Phrase	Category
escalope	NOUN
escola	NOUN
escolha	NOUN
escolher	VERB
escova	VERB
escovar	VERB
escrever	VERB
escritório	NOUN
escuro	ADJ
esferográfica	ADJ
esgotar	VERB
espaço	NOUN
espelho	NOUN
esperar	VERB
espinafre	VERB
esplêndido	VERB
esquadra	ADJ
esquecer	VERB
esquerda	NOUN
esqui	ADV
esquiar	ADJ
esquina	NOUN
esquisito	NOUN
esse	DET
estação	NOUN
estádio	NOUN
estágio	NOUN
estância	NOUN
estante	ADV
estar	AUX
este	PRON
estojo	NOUN
estômago	VERB
estou!	AUX
estrada	NOUN
estrangeiro	ADJ
estranho	ADJ
estreito	ADJ
estrela	NOUN
estudante	NOUN
estudar	VERB
estúpido	VERB
esvaziar	VERB
euro	NOUN
europeu	ADJ
evitar	VERB
exame	NOUN
exames	NOUN
examinar	VERB
exatamente	ADV
excelente	ADJ
excepto	ADP
excursão	NOUN
exemplo	NOUN
exercício	NOUN
exército	ADJ
Exmo.	PROPN
expensive)	NOUN
experiência	NOUN
fábrica	NOUN
faca	VERB
fácil	ADJ
faculdade	NOUN
falar	VERB
faltar	VERB
família	NOUN
fantástico	ADJ
farmácia	VERB
farol	NOUN
fatia	VERB
fato	NOUN
favorável	ADJ
favorito	NOUN
fax	NOUN
fazer	VERB
febre	NOUN
fechado	VERB
fechar	VERB
feijão	ADJ
feio	NOUN
fémea	ADJ
feriado	NOUN
férias	NOUN
ferramenta	VERB
ferro	NOUN
ferry	VERB
festa	NOUN
festival	NOUN
fiambre	ADJ
ficar	VERB
fígado	ADJ
fila	NOUN
filha	NOUN
filho	NOUN
filme	NOUN
fim	NOUN
final	ADJ
finalmente	ADV
firma	NOUN
física	ADJ
flauta	NOUN
flor	NOUN
fogão	PROPN
fogo	NOUN
fogueira	NOUN
folha	PROPN
folheto	ADJ
fome	NOUN
fora	ADV
forno	NOUN
forte	ADJ
fotografia	NOUN
fotografia	NOUN
fotógrafo	NOUN
fraco	ADJ
framboesa	NOUN
frango	NOUN
frasco	NOUN
fresco	ADJ
frigideira	VERB
frigorífico	ADJ
frio	NOUN
fronteira	NOUN
fruta	VERB
funcionar	VERB
funcionário	NOUN
furo	NOUN
futebol	NOUN
gabardine	NOUN
ganhar	VERB
ganso	ADJ
garçom	NOUN
garrafa	VERB
gasolina	VERB
gastar	VERB
gato	NOUN
geada	VERB
gelado	VERB
gelo	NOUN
gémeos	NOUN
geografia	NOUN
gerente	NOUN
ginásio	VERB
golo	NOUN
gordo	ADJ
gorjeta	VERB
gostar	VERB
grande	ADJ
grátis	ADJ
grau	NOUN
gravata	VERB
grave	ADJ
grelhar	VERB
gripe	ADJ
gritar	VERB
groselha	VERB
grupo	NOUN
guarda-chuva	NOUN
guarda-roupa	ADJ
guarda	VERB
guisado	VERB
guitarra	NOUN
há	VERB
habitante	ADV
helicóptero	NOUN
história	NOUN
histórico	ADJ
hoje	ADV
homem	NOUN
honesto	ADJ
hora	NOUN
horário	NOUN
hospedeira	ADJ
hospital	ADJ
hotel	NOUN
húmido	ADJ
i.e.	PROPN
idade	NOUN
ideia	NOUN
identidade	NOUN
igreja	NOUN
ilha	NOUN
imediatamente	ADV
impossível	ADJ
impresso	VERB
incluído	VERB
infância	NOUN
infantário	ADJ
infelizmente	ADV
informação	NOUN
inglês	NOUN
inseto	NOUN
instrumento	NOUN
integral	NOUN
inteiro	ADJ
inteligente	ADJ
intercâmbio	NOUN
interessante	ADJ
internet	PROPN
intervalo	NOUN
inútil	ADJ
iogurte	VERB
ipod	NOUN
ir	VERB
Ir	VERB
ir-se	VERB
irmã	NOUN
irmão	NOUN
irmãos	NOUN
Itália	PROPN
já	ADV
janela	NOUN
jantar	VERB
jardim	NOUN
joelho	NOUN
jogador	NOUN
jogar	VERB
jogo	NOUN
jornal	NOUN
jornalista	NOUN
jovem	ADJ
justo	NOUN
juventude	NOUN
lã	ADJ
lábio	ADJ
laboratório	NOUN
lado	NOUN
lago	NOUN
lâmpada	VERB
lanchar	VERB
lanterna	ADJ
lápis	NOUN
laranja	ADJ
largo	NOUN
lata	NOUN
lava-loiças	NOUN
lavandaria	ADJ
lavar	VERB
lavar-se	VERB
lavatório	ADJ
leão	NOUN
legumes	NOUN
leite	NOUN
leitor	NOUN
lembrar	VERB
lenço	NOUN
lençol	NOUN
lento	NOUN
ler	VERB
letra	NOUN
levantar-se	VERB
levar	VERB
libra	NOUN
líder	NOUN
liga	NOUN
ligação	NOUN
ligar	VERB
limão	VERB
limonada	VERB
limpar	VERB
limpo	VERB
lindo	VERB
língua	NOUN
linha	NOUN
liso	ADJ
lista	VERB
livraria	NOUN
livre	ADJ
livro	NOUN
lixo	ADJ
logo	ADV
loja	NOUN
lojista	ADJ
longe	ADV
louro	ADJ
lugar	NOUN
luminoso	ADJ
luva	NOUN
luxo	NOUN
luz	NOUN
maçã	ADJ
macaco	ADJ
maçaneta	NOUN
macho	NOUN
macio	NOUN
mãe	NOUN
magro	ADJ
mais	ADV
mala	VERB
mamãe	ADJ
mandar	VERB
manga	VERB
manteiga	NOUN
mão	NOUN
mapa	NOUN
máquina	NOUN
maquinista	NOUN
mar	NOUN
maravilhoso	ADJ
maravilhoso!	ADJ
marca	NOUN
margem	NOUN
marido	NOUN
marmelada	VERB
mas	CCONJ
massa	NOUN
matemática	ADJ
material	NOUN
mau	ADJ
mecânico	ADJ
medicamento	NOUN
médico	NOUN
médio	ADJ
meia-noite	NOUN
meio	NOUN
meio-dia	NOUN
mel	NOUN
melhor	ADJ
membro	NOUN
menina	NOUN
menos	ADV
mercado	NOUN
Mercearia	ADJ
mês	NOUN
mesa	NOUN
mesmo	ADV
metal	ADJ
meter	VERB
metropolitano	ADJ
microondas	NOUN
misturado	VERB
mobilado	VERB
mobília	NOUN
mochila	NOUN
moda	NOUN
moderado	VERB
modo	NOUN
moeda	NOUN
molhado	VERB
molho	NOUN
momento	NOUN
montanha	NOUN
montra	NOUN
morango	NOUN
morar	VERB
morto	VERB
mosca	VERB
mostarda	NOUN
mostrar	VERB
motociclista	ADJ
motor	NOUN
motorista	ADV
mudar	VERB
muitas	PRON
muito	ADV
mulher	NOUN
mundo	NOUN
muro	NOUN
museu	NOUN
música	NOUN
músico	ADJ
na	ADP
nada	PRON
nadar	VERB
namorado	VERB
não	ADV
nariz	NOUN
nascido	VERB
nascimento	NOUN
nata	NOUN
natação	NOUN
navegar	VERB
navio	ADJ
necessário	ADJ
negativo	ADJ
nenhum	DET
nervoso	ADJ
neto	NOUN
nevar	VERB
neve	VERB
nevoeiro	NOUN
ninguém	PRON
no	ADP
nome	NOUN
normalmente	ADV
norte	NOUN
nota	NOUN
notícias	NOUN
novo	ADJ
noz	ADV
nublado	VERB
número	NOUN
nunca	ADV
nuvem	VERB
o	DET
obrigado	VERB
Oceano	PROPN
ocidental	ADJ
ocupado	VERB
oeste	ADJ
oferecer	VERB
oferta	NOUN
oficina	NOUN
ok	ADP
olá	PRON
óleo	NOUN
olhar	VERB
olho	NOUN
ombro	NOUN
onda	NOUN
onde?	ADV
ontem	ADV
ópera	NOUN
operação	NOUN
operário	NOUN
ordenado	NOUN
orelha	NOUN
organizar	VERB
ou	CCONJ
outra	DET
outro	DET
ouvir	VERB
ovelha	NOUN
ovo	NOUN
paciente	ADV
pacote	NOUN
padeiro	ADJ
pagar	VERB
Page	PROPN
página	NOUN
pai	NOUN
pais	NOUN
palavra	NOUN
pálido	ADJ
pão	NOUN
pãozinho	NOUN
papá	NOUN
papéis	NOUN
papel	NOUN
papelaria	NOUN
par	NOUN
para	ADP
paragem	NOUN
parar	VERB
parede	NOUN
parente	ADV
parque	NOUN
parte	NOUN
particular	ADJ
particularmente	ADV
partida	NOUN
partido	NOUN
partilhar	VERB
partir	VERB
passageiro	NOUN
passaporte	NOUN
passar	VERB
passatempo	NOUN
passeio	NOUN
pasta	NOUN
pastelaria	VERB
pastilha	NOUN
patins	NOUN
pátio	NOUN
pato	NOUN
patrão	VERB
pé	NOUN
peça	NOUN
pedaço	NOUN
pedir	VERB
pedra	NOUN
peixe	NOUN
peixinho	NOUN
pensão	NOUN
pente	ADV
pentear-se	VERB
pepino	NOUN
pequeno	ADJ
pêra	NOUN
perceber	VERB
perder	VERB
perfeito	ADJ
perfume	NOUN
pergunta	VERB
perguntar	VERB
perigo	NOUN
periquito	ADJ
perna	VERB
perto	ADV
peru	NOUN
pesado	VERB
pesar	VERB
pescar	VERB
pescoço	NOUN
pêssego	NOUN
pessoa	NOUN
pessoas	NOUN
peúga	VERB
piano	NOUN
pijama	NOUN
pílula	ADJ
