Category,Sentence,Pattern,Highlights
To be,Might have been?,Subject + to be,"{""special"": [""been""]}"
Questions,Might have been?,Question word + aux + subject + verb,"{""special"": [""Might"", ""have""]}"
Present simple,"Oh, man, guts are crook.",Subject + verb (present),"{""verbs"": [""are""]}"
To be,"Oh, man, guts are crook.",Subject + to be,"{""special"": [""are""]}"
Past simple,I didn't mean to chunder on you.,Pronouns + verb (past),"{""verbs"": [""did""]}"
Prepositions,I didn't mean to chunder on you.,noun + preposition + noun,"{""special"": [""on""]}"
Present simple,- That's OK. - Urgh.,Subject + verb (present),"{""verbs"": [""'s""]}"
To be,- That's OK. - Urgh.,Subject + to be,"{""special"": [""'s""]}"
Present simple,(BURPS) - Are you finished?,Subject + verb (present),"{""verbs"": [""Are""]}"
To be,(BURPS) - Are you finished?,Subject + to be,"{""special"": [""Are""]}"
Questions,(BURPS) - Are you finished?,Question word + aux + subject + verb,"{""special"": []}"
Present simple,I hope you've learned your lesson.,Subject + verb (present),"{""verbs"": [""hope"", ""'ve""]}"
Possessives,I hope you've learned your lesson.,possessive + noun,"{""special"": [""your""]}"
Present simple,Mm. Smells OK... Hoo-argh!,Subject + verb (present),"{""verbs"": [""Smells""]}"
Can/Could,"Can we have a story, Dad?",pronouns + can/could + verb,"{""verbs"": [], ""special"": [""Can""]}"
Questions,"Can we have a story, Dad?",Question word + aux + subject + verb,"{""special"": [""Can""]}"
Numbers,OK. How about the three little pigs?,Noun + verb + number + noun,"{""numbers"": [""three""]}"
Questions,OK. How about the three little pigs?,Question word + aux + subject + verb,"{""special"": [""How""]}"
Can/Could,[Together] Yeah!  - Can you make it funny?,pronouns + can/could + verb,"{""verbs"": [], ""special"": [""Can""]}"
Questions,[Together] Yeah!  - Can you make it funny?,Question word + aux + subject + verb,"{""special"": [""Can""]}"
Past simple,"OK. One day, there were these three little pigs called Jingo,",Pronouns + verb (past),"{""verbs"": [""were""]}"
Numbers,"OK. One day, there were these three little pigs called Jingo,",Noun + verb + number + noun,"{""numbers"": [""One"", ""three""]}"
To be,"OK. One day, there were these three little pigs called Jingo,",Subject + to be,"{""special"": [""were""]}"
Connecting words,"Gruey and, er... Jimmy or something.",clause + and/but/because + clause,"{""special"": [""and""]}"
Past simple,"But Jimmy was on a team building course for work,",Pronouns + verb (past),"{""verbs"": [""was""]}"
Present continuous,"But Jimmy was on a team building course for work,",be + verb-ing,"{""verbs"": [""building""], ""special"": [""was""]}"
Connecting words,"But Jimmy was on a team building course for work,",clause + and/but/because + clause,"{""special"": [""But""]}"
Prepositions,"But Jimmy was on a team building course for work,",noun + preposition + noun,"{""special"": [""on""]}"
Past simple,"So the first pig, Jingo, built her house out of straw.",Pronouns + verb (past),"{""verbs"": [""built""]}"
Possessives,"So the first pig, Jingo, built her house out of straw.",possessive + noun,"{""special"": [""her""]}"
Numbers,"And one day, the Big Bad Wolf rocks up",Noun + verb + number + noun,"{""numbers"": [""one""]}"
Connecting words,"And one day, the Big Bad Wolf rocks up",clause + and/but/because + clause,"{""special"": [""And""]}"
Present simple,"and says, “Little pig, little pig, let me in.”",Subject + verb (present),"{""verbs"": [""says""]}"
Connecting words,"and says, “Little pig, little pig, let me in.”",clause + and/but/because + clause,"{""special"": [""and""]}"
Present simple,"But Jingo says, “No way, mate. I’m making nachos.”",Subject + verb (present),"{""verbs"": [""says"", ""\u2019m""]}"
Connecting words,"But Jingo says, “No way, mate. I’m making nachos.”",clause + and/but/because + clause,"{""special"": [""But""]}"
Present simple,"“Ah, I just want to talk to you about your electricity provider.”",Subject + verb (present),"{""verbs"": [""want""]}"
Possessives,"“Ah, I just want to talk to you about your electricity provider.”",possessive + noun,"{""special"": [""your""]}"
Present simple,"Jingo’s like, “Oh, that sounds good,”",Subject + verb (present),"{""verbs"": [""sounds""]}"
Present simple,and she's about to open the door and then she remembers –,Subject + verb (present),"{""verbs"": [""'s"", ""remembers""]}"
To be,and she's about to open the door and then she remembers –,Subject + to be,"{""special"": [""'s""]}"
Connecting words,and she's about to open the door and then she remembers –,clause + and/but/because + clause,"{""special"": [""and"", ""and""]}"
Present simple,"“Hang on! I've got solar! Jog on, chief.”",Subject + verb (present),"{""verbs"": [""'ve""]}"
Have got,"“Hang on! I've got solar! Jog on, chief.”",have/has got + noun,"{""special"": [""have"", ""has"", ""got"", ""'ve""]}"
Prepositions,"“Hang on! I've got solar! Jog on, chief.”",noun + preposition + noun,"{""special"": [""on""]}"
Past simple,So the Big Bad Wolf huffed and puffed and blew the house in.  - Dad...,Pronouns + verb (past),"{""verbs"": [""puffed"", ""blew""]}"
Connecting words,So the Big Bad Wolf huffed and puffed and blew the house in.  - Dad...,clause + and/but/because + clause,"{""special"": [""and"", ""and""]}"
Past simple,"(WHISPERS) - So Jingo called the police, and the police came,",Pronouns + verb (past),"{""verbs"": [""called"", ""came""]}"
Connecting words,"(WHISPERS) - So Jingo called the police, and the police came,",clause + and/but/because + clause,"{""special"": [""and""]}"
Past simple,"and the little pig, Jingo, was cacking herself",Pronouns + verb (past),"{""verbs"": [""was""]}"
Present continuous,"and the little pig, Jingo, was cacking herself",be + verb-ing,"{""verbs"": [""cacking""], ""special"": [""was""]}"
Connecting words,"and the little pig, Jingo, was cacking herself",clause + and/but/because + clause,"{""special"": [""and""]}"
Connecting words,and filming it all on her phone,clause + and/but/because + clause,"{""special"": [""and""]}"
Prepositions,and filming it all on her phone,noun + preposition + noun,"{""special"": [""on""]}"
Possessives,and filming it all on her phone,possessive + noun,"{""special"": [""her""]}"
Connecting words,and posting it on the ‘Gram,clause + and/but/because + clause,"{""special"": [""and""]}"
Prepositions,and posting it on the ‘Gram,noun + preposition + noun,"{""special"": [""on""]}"
Connecting words,and getting heaps of new followers,clause + and/but/because + clause,"{""special"": [""and""]}"
Connecting words,"And the wolf’s all like,",clause + and/but/because + clause,"{""special"": [""And""]}"
Past simple,“I didn't do nothing!”,Pronouns + verb (past),"{""verbs"": [""did""]}"
Present simple,"but the cops aren’t buying all that and they’re like,",Subject + verb (present),"{""verbs"": [""are"", ""n\u2019t"", ""\u2019re""]}"
Present continuous,"but the cops aren’t buying all that and they’re like,",be + verb-ing,"{""verbs"": [""buying""], ""special"": [""are""]}"
Connecting words,"but the cops aren’t buying all that and they’re like,",clause + and/but/because + clause,"{""special"": [""but"", ""and""]}"
Past simple,"“You got three priors, mate,",Pronouns + verb (past),"{""verbs"": [""got""]}"
Numbers,"“You got three priors, mate,",Noun + verb + number + noun,"{""numbers"": [""three""]}"
Connecting words,"and that Monaro’s stolen, so tell it to the judge, buddy.”",clause + and/but/because + clause,"{""special"": [""and""]}"
Past simple,So they put the wolf in jail.,Pronouns + verb (past),"{""verbs"": [""put""]}"
Prepositions,So they put the wolf in jail.,noun + preposition + noun,"{""special"": [""in""]}"
Past simple,came and helped rebuild Jingo's house.,Pronouns + verb (past),"{""verbs"": [""came"", ""helped""]}"
Connecting words,came and helped rebuild Jingo's house.,clause + and/but/because + clause,"{""special"": [""and""]}"
Possessives,came and helped rebuild Jingo's house.,possessive + noun,"{""special"": [""Jingo""]}"
Past simple,"but this time, she used Besser blocks. - Dad, wait!",Pronouns + verb (past),"{""verbs"": [""used""]}"
Connecting words,"but this time, she used Besser blocks. - Dad, wait!",clause + and/but/because + clause,"{""special"": [""but""]}"
Past simple,And they built a rad pool shaped like an ice cream cone,Pronouns + verb (past),"{""verbs"": [""built""]}"
Connecting words,And they built a rad pool shaped like an ice cream cone,clause + and/but/because + clause,"{""special"": [""And""]}"
Past simple,and filled it with lemonade. Wow. Good idea.,Pronouns + verb (past),"{""verbs"": [""filled""]}"
Connecting words,and filled it with lemonade. Wow. Good idea.,clause + and/but/because + clause,"{""special"": [""and""]}"
Past simple,"Meanwhile, the Big Bad Wolf scored a softy judge",Pronouns + verb (past),"{""verbs"": [""scored""]}"
Past simple,and was out of jail on good behaviour.,Pronouns + verb (past),"{""verbs"": [""was""]}"
To be,and was out of jail on good behaviour.,Subject + to be,"{""special"": [""was""]}"
Connecting words,and was out of jail on good behaviour.,clause + and/but/because + clause,"{""special"": [""and""]}"
Prepositions,and was out of jail on good behaviour.,noun + preposition + noun,"{""special"": [""on""]}"
Past simple,"But the judge said, “You gotta go say sorry to those pigs,",Pronouns + verb (past),"{""verbs"": [""said"", ""got""]}"
Connecting words,"But the judge said, “You gotta go say sorry to those pigs,",clause + and/but/because + clause,"{""special"": [""But""]}"
Present simple,"or you're back in here, buddy.”",Subject + verb (present),"{""verbs"": [""'re""]}"
To be,"or you're back in here, buddy.”",Subject + to be,"{""special"": [""'re""]}"
Prepositions,"or you're back in here, buddy.”",noun + preposition + noun,"{""special"": [""in""]}"
Past simple,So the wolf walked round to Jingo’s new joint,Pronouns + verb (past),"{""verbs"": [""walked""]}"
Possessives,So the wolf walked round to Jingo’s new joint,possessive + noun,"{""special"": [""Jingo""]}"
Past simple,"and Jingo and Gruey said, “Yeah, mate, it’s all cool.",Pronouns + verb (past),"{""verbs"": [""said""]}"
Connecting words,"and Jingo and Gruey said, “Yeah, mate, it’s all cool.",clause + and/but/because + clause,"{""special"": [""and"", ""and""]}"
Connecting words,Just don't try and eat us.”,clause + and/but/because + clause,"{""special"": [""and""]}"
Connecting words,"And the wolf's like,",clause + and/but/because + clause,"{""special"": [""And""]}"
Past simple,"“Yeah, fair enough. I'm going vegan anyway. I just did tofu.”",Pronouns + verb (past),"{""verbs"": [""did""]}"
Present continuous,"“Yeah, fair enough. I'm going vegan anyway. I just did tofu.”",be + verb-ing,"{""verbs"": [""going""], ""special"": [""'m""]}"
Past simple,"So they invited him in for a swim to try and make friends,",Pronouns + verb (past),"{""verbs"": [""invited""]}"
Connecting words,"So they invited him in for a swim to try and make friends,",clause + and/but/because + clause,"{""special"": [""and""]}"
Past simple,but he kept peeing in the pool! [Together] Eeuuww!,Pronouns + verb (past),"{""verbs"": [""kept""]}"
