Category,Sentence,Pattern,Highlights
Connecting words,and along came some tiny little ants.,clause + and/but/because + clause,"{""special"": [""and""]}"
Past simple,But then came an elephant.,Pronouns + verb (past),"{""verbs"": [""came""]}"
Connecting words,But then came an elephant.,clause + and/but/because + clause,"{""special"": [""But""]}"
Past simple,The elephant left. Phew!,Pronouns + verb (past),"{""verbs"": [""left""]}"
Directions,The elephant left. Phew!,verb + direction,"{""special"": [""left""]}"
Past simple,And along came a spider.  - (SQUEALS),Pronouns + verb (past),"{""verbs"": [""came""]}"
Connecting words,And along came a spider.  - (SQUEALS),clause + and/but/because + clause,"{""special"": [""And""]}"
Imperatives,"Go away, spider!",Verb + (object),"{""verbs"": [""Go""]}"
Present simple,"- Oh, wait, here's a snake! Sssss! - Aaaah!",Subject + verb (present),"{""verbs"": [""'s""]}"
To be,"- Oh, wait, here's a snake! Sssss! - Aaaah!",Subject + to be,"{""special"": [""'s""]}"
Present simple,"Ah, the frog’s gone and along comes a pussycat.",Subject + verb (present),"{""verbs"": [""\u2019s"", ""comes""]}"
Connecting words,"Ah, the frog’s gone and along comes a pussycat.",clause + and/but/because + clause,"{""special"": [""and""]}"
Present simple,"Oh, no, Bingo. This cat wants to have a nap.",Subject + verb (present),"{""verbs"": [""wants""]}"
Present simple,She uses her claws to make a nice bed!,Subject + verb (present),"{""verbs"": [""uses""]}"
Possessives,She uses her claws to make a nice bed!,possessive + noun,"{""special"": [""her""]}"
Present simple,All is well. - Ahh...,Subject + verb (present),"{""verbs"": [""is""]}"
To be,All is well. - Ahh...,Subject + to be,"{""special"": [""is""]}"
