word,category
store,Nouns 
story,Nouns 
street,Nouns 
Sue,Nouns 
sun,Nouns 
table,Nouns 
tablet,Nouns 
tail,Nouns 
teacher,Nouns 
teddy,Nouns 
television,Nouns 
tennis,Nouns 
tennis racket,Nouns 
thing,Nouns 
tick,Nouns 
tiger,Nouns 
today,Nouns 
Tom,Nouns 
tomato,Nouns 
toy,Nouns 
train,Nouns 
tree,Nouns 
trousers,Nouns 
truck,Nouns 
try,Nouns 
T-shirt,Nouns 
wall,Nouns 
watch,Nouns 
water,Nouns 
watermelon,Nouns 
window,Nouns 
woman/women,Nouns 
word,Nouns 
year,Nouns 
zebra,Nouns 
zoo,Nouns 
vegetable,Nouns 
Vicky,Nouns 
video,Nouns 
village,Nouns 
walk,Nouns 
wash,Nouns 
waterfall,Nouns 
wave,Nouns 
weather,Nouns 
website,Nouns 
Wednesday,Nouns 
week,Nouns 
weekend,Nouns 
whale,Nouns 
wind,Nouns 
work,Nouns 
world,Nouns 
yesterday,Nouns 
Zoe,Nouns 
angry,Adjectives
beautiful,Adjectives
big,Adjectives
black,Adjectives
blue,Adjectives
brown,Adjectives
clean,Adjectives
closed,Adjectives
cool,Adjectives
correct,Adjectives
dirty,Adjectives
double,Adjectives
English,Adjectives
fantastic,Adjectives
favourite,Adjectives
fun,Adjectives
funny,Adjectives
good,Adjectives
gray,Adjectives
great,Adjectives
green,Adjectives
grey,Adjectives
happy,Adjectives
long,Adjectives
new,Adjectives
nice,Adjectives
old,Adjectives
open,Adjectives
orange,Adjectives
paper,Adjectives
pink,Adjectives
purple,Adjectives
red,Adjectives
right,Adjectives
sad,Adjectives
scary,Adjectives
short,Adjectives
silly,Adjectives
small,Adjectives
ugly,Adjectives
white,Adjectives
yellow,Adjectives
young,Adjectives
afraid,Adjectives
all right,Adjectives
asleep,Adjectives
awake,Adjectives
bad,Adjectives
best,Adjectives
better,Adjectives
blond,Adjectives
boring,Adjectives
bottom,Adjectives
brave,Adjectives
brilliant,Adjectives
busy,Adjectives
careful,Adjectives
clever,Adjectives
cloudy,Adjectives
cold,Adjectives
curly,Adjectives
dangerous,Adjectives
different,Adjectives
difficult,Adjectives
dry,Adjectives
easy,Adjectives
exciting,Adjectives
fair,Adjectives
famous,Adjectives
fat,Adjectives
f,Adjectives
ine,Adjectives
f,Adjectives
irst,Adjectives
frightened,Adjectives
hot,Adjectives
huge,Adjectives
hungry,Adjectives
ill,Adjectives
last,Adjectives
little,Adjectives
loud,Adjectives
naughty,Adjectives
pretty,Adjectives
quick,Adjectives
quiet,Adjectives
safe,Adjectives
second,Adjectives
sick,Adjectives
slow,Adjectives
square,Adjectives
straight,Adjectives
strong,Adjectives
sunny,Adjectives
surprised,Adjectives
sweet,Adjectives
tall,Adjectives
terrible,Adjectives
thin,Adjectives
third,Adjectives
thirsty,Adjectives
tired,Adjectives
weak,Adjectives
well,Adjectives
wet,Adjectives
windy,Adjectives
worse,Adjectives
worst,Adjectives
wrong,Adjectives
a,Determiners
a lot of,Determiners
an,Determiners
lots of,Determiners
many,Determiners
no,Determiners
one,Determiners
some,Determiners
that,Determiners
the,Determiners
these,Determiners
this,Determiners
those,Determiners
all,Determiners
another,Determiners
any,Determiners
both,Determiners
every,Determiners
more,Determiners
most,Determiners
again,Adverbs 
here,Adverbs 
home,Adverbs 
a lot of,Adverbs 
lots,Adverbs 
no,Adverbs 
not,Adverbs 
now,Adverbs 
really,Adverbs 
there,Adverbs 
today,Adverbs 
too,Adverbs 
very,Adverbs 
yes,Adverbs 
off,Adverbs 
often,Adverbs 
on,Adverbs 
only,Adverbs 
out,Adverbs 
outside,Adverbs 
quickly,Adverbs 
quietly,Adverbs 
round,Adverbs 
second,Adverbs 
slowly,Adverbs 
sometimes,Adverbs 
then,Adverbs 
third,Adverbs 
top,Adverbs 
up,Adverbs 
upstairs,Adverbs 
well,Adverbs 
when,Adverbs 
worse,Adverbs 
worst,Adverbs 
yesterday,Adverbs 
all,Adverbs 
all right,Adverbs 
always,Adverbs 
back,Adverbs 
badly,Adverbs 
best,Adverbs 
better,Adverbs 
carefully,Adverbs 
down,Adverbs 
downstairs,Adverbs 
first,Adverbs 
how,Adverbs 
how much,Adverbs 
how often,Adverbs 
inside,Adverbs 
last,Adverbs 
loudly,Adverbs 
more,Adverbs 
most,Adverbs 
near,Adverbs 
never,Adverbs 
o’clock,Adverbs 
,
about,Prepositions 
behind,Prepositions 
between,Prepositions 
for,Prepositions 
from,Prepositions 
in front of,Prepositions 
next to,Prepositions 
of,Prepositions 
to,Prepositions 
under,Prepositions 
with,Prepositions 
down,Prepositions 
into,Prepositions 
near,Prepositions 
off,Prepositions 
opposite,Prepositions 
out of,Prepositions 
up,Prepositions 
above,Prepositions 
after,Prepositions 
along,Prepositions 
around,Prepositions 
at,Prepositions 
before,Prepositions 
below,Prepositions 
by,Prepositions 
and,Conjunctions 
but,Conjunctions 
or,Conjunctions 
because,Conjunctions 
than,Conjunctions 
when,Conjunctions 
he,Pronouns 
her,Pronouns 
hers,Pronouns 
him,Pronouns 
his,Pronouns 
I,Pronouns 
it,Pronouns 
its,Pronouns 
a lot,Pronouns 
lots,Pronouns 
me,Pronouns 
mine,Pronouns 
one,Pronouns 
ours,Pronouns 
she,Pronouns 
that,Pronouns 
theirs,Pronouns 
them,Pronouns 
these,Pronouns 
they,Pronouns 
this,Pronouns 
those,Pronouns 
us,Pronouns 
we,Pronouns 
you,Pronouns 
yours,Pronouns 
most,Pronouns 
nothing,Pronouns 
someone,Pronouns 
something,Pronouns 
where,Pronouns 
which,Pronouns 
who,Pronouns 
all,Pronouns 
another,Pronouns 
any,Pronouns 
both,Pronouns 
everyone,Pronouns 
everything,Pronouns 
more,Pronouns 
hide,verbs irregular
hurt,verbs irregular
lose,verbs irregular
mean,verbs irregular
must,verbs irregular
put on,verbs irregular
send,verbs irregular
take,verbs irregular
take off,verbs irregular
undress,verbs irregular
teach,verbs irregular
think,verbs irregular
wake up,verbs irregular
call,verbs irregular
bring,verbs irregular
build,verbs irregular
buy,verbs irregular
catch,verbs irregular
fall,verbs irregular
feed,verbs irregular
get up,verbs irregular
go,verbs irregular
grow,verbs irregular
